date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
1999-01-01,83839.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2000-01-01,83377.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2001-01-01,87996.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2002-01-01,79700.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2003-01-01,76547.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2004-01-01,79172.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2005-01-01,77729.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2006-01-01,75999.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2007-01-01,82515.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2008-01-01,80720.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2009-01-01,77982.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2010-01-01,72039.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2011-01-01,69334.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2012-01-01,75246.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2013-01-01,84427.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2014-01-01,77473.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2015-01-01,85898.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2016-01-01,85494.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2017-01-01,86196.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2018-01-01,74161.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2019-01-01,83079.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2020-01-01,78236.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
2021-01-01,81133.0,2023-01-21,2023-01-21,Alaska,MEHOINUSAKA672N,Real Median Household Income in Alaska,A,2021 CPI-U-RS Adjusted $,NSA
1984-01-01,43113.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
1985-01-01,44145.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
1986-01-01,45277.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
1987-01-01,45148.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
1988-01-01,44047.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
1989-01-01,45028.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
1990-01-01,47092.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
1991-01-01,47363.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
1992-01-01,48989.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
1993-01-01,46440.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
1994-01-01,49324.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
1995-01-01,46029.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
1996-01-01,52272.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
1997-01-01,53930.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
1998-01-01,60418.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
1999-01-01,59134.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2000-01-01,55888.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2001-01-01,53936.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2002-01-01,56789.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2003-01-01,55014.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2004-01-01,52667.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2005-01-01,51666.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2006-01-01,51124.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2007-01-01,55294.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2008-01-01,56105.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2009-01-01,50609.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2010-01-01,50975.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2011-01-01,51417.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2012-01-01,51384.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2013-01-01,55126.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2014-01-01,48432.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2015-01-01,50900.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2016-01-01,53314.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2017-01-01,56219.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2018-01-01,53879.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2019-01-01,59558.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2020-01-01,57243.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
2021-01-01,56929.0,2023-01-21,2023-01-21,Alabama,MEHOINUSALA672N,Real Median Household Income in Alabama,A,2021 CPI-U-RS Adjusted $,NSA
1984-01-01,39038.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
1985-01-01,42021.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
1986-01-01,44325.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
1987-01-01,43073.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
1988-01-01,44541.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
1989-01-01,45343.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
1990-01-01,45940.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
1991-01-01,45590.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
1992-01-01,45333.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
1993-01-01,42657.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
1994-01-01,46366.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
1995-01-01,45716.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
1996-01-01,46788.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
1997-01-01,44175.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
1998-01-01,46089.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
1999-01-01,48418.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2000-01-01,46853.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2001-01-01,51143.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2002-01-01,48911.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2003-01-01,47257.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2004-01-01,50301.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2005-01-01,50981.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2006-01-01,49918.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2007-01-01,53438.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2008-01-01,49936.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2009-01-01,46252.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2010-01-01,48053.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2011-01-01,49862.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2012-01-01,46128.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2013-01-01,45872.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2014-01-01,51461.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2015-01-01,48944.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2016-01-01,51830.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2017-01-01,54988.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2018-01-01,53712.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2019-01-01,57799.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2020-01-01,53148.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
2021-01-01,50784.0,2023-01-21,2023-01-21,Arkansas,MEHOINUSARA672N,Real Median Household Income in Arkansas,A,2021 CPI-U-RS Adjusted $,NSA
1984-01-01,53362.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
1985-01-01,57495.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
1986-01-01,60347.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
1987-01-01,61198.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
1988-01-01,58371.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
1989-01-01,60404.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
1990-01-01,58921.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
1991-01-01,59796.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
1992-01-01,55727.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
1993-01-01,56490.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
1994-01-01,56754.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
1995-01-01,54658.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
1996-01-01,54575.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
1997-01-01,55283.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
1998-01-01,61791.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
1999-01-01,60348.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2000-01-01,62766.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2001-01-01,65509.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2002-01-01,60007.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2003-01-01,60789.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2004-01-01,63043.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2005-01-01,62924.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2006-01-01,62850.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2007-01-01,61848.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2008-01-01,59180.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2009-01-01,57899.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2010-01-01,58400.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2011-01-01,58698.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2012-01-01,55616.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2013-01-01,61290.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2014-01-01,56424.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2015-01-01,59751.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2016-01-01,64468.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2017-01-01,65984.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2018-01-01,67201.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2019-01-01,74897.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2020-01-01,70220.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
2021-01-01,70821.0,2023-01-21,2023-01-21,Arizona,MEHOINUSAZA672N,Real Median Household Income in Arizona,A,2021 CPI-U-RS Adjusted $,NSA
1984-01-01,62981.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
1985-01-01,64969.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
1986-01-01,68654.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
1987-01-01,68969.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
1988-01-01,66876.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
1989-01-01,69833.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
1990-01-01,67118.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
1991-01-01,65490.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
1992-01-01,66253.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
1993-01-01,63086.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
1994-01-01,64078.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
1995-01-01,65542.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
1996-01-01,66952.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
1997-01-01,67025.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
1998-01-01,68195.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
1999-01-01,71169.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
2000-01-01,73862.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
2001-01-01,72501.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
2002-01-01,71640.0,2023-01-21,2023-01-21,California,MEHOINUSCAA672N,Real Median Household Income in California,A,2021 CPI-U-RS Adjusted $,NSA
